#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.201000000000000E+01  0.210555488288992E+00  0.297348238373481E-01  0.465647625855410E+01  0.657591508898886E+00
     0.202000000000000E+01  0.210427446852329E+00  0.298860660418620E-01  0.465826869344497E+01  0.661592999846321E+00
     0.203000000000000E+01  0.210298344789518E+00  0.300375009557055E-01  0.466007795137499E+01  0.665611971688068E+00
     0.204000000000000E+01  0.210168177082182E+00  0.301891388942101E-01  0.466190406519689E+01  0.669648808347794E+00
     0.205000000000000E+01  0.210036938896379E+00  0.303409902783639E-01  0.466374706161856E+01  0.673703897042256E+00
     0.206000000000000E+01  0.209904625583200E+00  0.304930656290247E-01  0.466560696117036E+01  0.677777628153370E+00
     0.207000000000000E+01  0.209771232679110E+00  0.306453755612082E-01  0.466748377817733E+01  0.681870395102729E+00
     0.208000000000000E+01  0.209636755906067E+00  0.307979307784609E-01  0.466937752073556E+01  0.685982594228615E+00
     0.209000000000000E+01  0.209501191171414E+00  0.309507420673278E-01  0.467128819069270E+01  0.690114624665734E+00
     0.210000000000000E+01  0.209364534567561E+00  0.311038202919251E-01  0.467321578363217E+01  0.694266888227804E+00
     0.211000000000000E+01  0.209226782371455E+00  0.312571763886229E-01  0.467516028886119E+01  0.698439789293230E+00
     0.212000000000000E+01  0.209087931043851E+00  0.314108213608506E-01  0.467712168940218E+01  0.702633734693950E+00
     0.213000000000000E+01  0.208947977228394E+00  0.315647662740286E-01  0.467909996198719E+01  0.706849133607559E+00
     0.214000000000000E+01  0.208806917750524E+00  0.317190222506355E-01  0.468109507705530E+01  0.711086397452868E+00
     0.215000000000000E+01  0.208664749616195E+00  0.318736004654161E-01  0.468310699875282E+01  0.715345939789040E+00
     0.216000000000000E+01  0.208521470010437E+00  0.320285121407363E-01  0.468513568493584E+01  0.719628176218276E+00
     0.217000000000000E+01  0.208377076295775E+00  0.321837685420911E-01  0.468718108717472E+01  0.723933524292166E+00
     0.218000000000000E+01  0.208231566010480E+00  0.323393809737687E-01  0.468924315076095E+01  0.728262403421880E+00
     0.219000000000000E+01  0.208084936866695E+00  0.324953607746767E-01  0.469132181471543E+01  0.732615234792079E+00
     0.220000000000000E+01  0.207937186748446E+00  0.326517193143328E-01  0.469341701179806E+01  0.736992441278619E+00
     0.221000000000000E+01  0.207788313709514E+00  0.328084679890251E-01  0.469552866851887E+01  0.741394447370201E+00
     0.222000000000000E+01  0.207638315971211E+00  0.329656182181417E-01  0.469765670514983E+01  0.745821679093823E+00
